brand,title,kilometer,gas_type,gear_box,year,price,ad_link,sv_avg_class,hp,cilinder
Abarth,Abarth 500e,1,electric,auto,2024,37981,https://www.standvirtual.com/carros/anuncio/abarth-500e-ID8PzylA.html,0,,
Abarth,Abarth 695 1.4 T-Jet MTA,1,petrol,auto,2024,36612,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-mta-ID8PzPUj.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet Competizione MTA,42000,petrol,auto,2015,16500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-mta-ID8PLFqw.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet,71444,petrol,manual,2019,20990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PxntY.html,2,145,1368
Abarth,Abarth 695C 1.4 T-Jet Rivale,25802,petrol,manual,2019,26990,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-ID8PLSd8.html,0,180,1368
Abarth,Abarth 500C 1.4 T-Jet Competizione MTA,77000,petrol,auto,2010,12000,https://www.standvirtual.com/carros/anuncio/abarth-500c-1-4-t-jet-competizione-mta-ID8PKJIn.html,0,160,1368
Abarth,Abarth 595 1.4 T-Jet,65500,petrol,manual,2020,23000,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PLeZy.html,2,145,1368
Abarth,Abarth 500C 1.4 T-Jet Turismo,147000,petrol,manual,2014,13990,https://www.standvirtual.com/carros/anuncio/abarth-500c-1-4-t-jet-turismo-ID8PKW2t.html,2,160,1368
Abarth,Abarth 595 1.4 T-Jet,4953,petrol,manual,2023,30490,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PKVXe.html,0,165,1368
Abarth,Abarth 124 Spider 1.4 MultiAir Turbo,22500,petrol,manual,2017,38000,https://www.standvirtual.com/carros/anuncio/abarth-124-spider-1-4-multiair-turbo-ID8PITX3.html,2,170,1368
Abarth,Abarth 595 1.4 T-Jet Yamaha Monster Energy,19000,petrol,manual,2021,29500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-yamaha-monster-energy-ID8PIKdb.html,2,165,1368
Abarth,Abarth Grande Punto 1.4 T-Jet,132000,petrol,manual,2008,9800,https://www.standvirtual.com/carros/anuncio/abarth-grande-punto-1-4-t-jet-ID8PJ4nw.html,0,155,1368
Abarth,Abarth 500C,108000,petrol,auto,2010,12750,https://www.standvirtual.com/carros/anuncio/abarth-500c-ID8PKGaM.html,0,135,1368
Abarth,Abarth 124 Spider 1.4 T Multiair AT6,200000,petrol,auto,2017,30000,https://www.standvirtual.com/carros/anuncio/abarth-124-spider-1-4-t-multiair-at6-ID8PLw6L.html,3,170,1368
